Date,GLD,KWEB,QQQ,URA,VOO,VT
2016-01-04,102.88999938964844,28.980335235595703,101.60562896728516,9.986286163330078,154.62953186035156,45.328208923339844
2016-01-05,103.18000030517578,29.315982818603516,101.4293212890625,9.928811073303223,154.9064483642578,45.336204528808594
2016-01-06,104.66999816894531,29.221210479736328,100.4550552368164,9.698909759521484,152.94329833984375,44.664093017578125
2016-01-07,106.1500015258789,27.673280715942383,97.3094711303711,9.325319290161133,149.21827697753906,43.6239013671875
2016-01-08,105.68000030517578,27.614046096801758,96.5114517211914,9.447456359863281,147.63262939453125,43.11182403564453
2016-01-11,104.73999786376953,26.911155700683594,96.808349609375,9.289401054382324,147.64942932128906,43.13581085205078
2016-01-12,104.20999908447266,27.34947395324707,97.93111419677734,9.231925010681152,148.874267578125,43.37586212158203
2016-01-13,104.72000122070312,26.599201202392578,94.55352783203125,8.9589204788208,145.2332000732422,42.40767288208008
2016-01-14,103.0199966430664,27.28629493713379,96.5671157836914,8.865521430969238,147.59066772460938,43.09580612182617
2016-01-15,104.08000183105469,26.243804931640625,93.5699691772461,8.542224884033203,144.42776489257812,41.88758087158203
2016-01-19,103.9800033569336,26.66238021850586,93.77410888671875,8.52785587310791,144.58721923828125,42.01560592651367
2016-01-20,105.37000274658203,26.243804931640625,93.48643493652344,8.420089721679688,142.89254760742188,41.34348678588867
2016-01-21,105.48999786376953,26.48073387145996,93.57923889160156,8.570962905883789,143.5888214111328,41.58353042602539
2016-01-22,105.0,26.812435150146484,96.28873443603516,8.815231323242188,146.53359985351562,42.62372589111328
2016-01-25,106.08000183105469,26.780841827392578,94.85974884033203,8.649991035461426,144.3606414794922,41.9595947265625
2016-01-26,107.29000091552734,26.575510025024414,95.71343231201172,8.84396743774414,146.3154754638672,42.66373062133789
2016-01-27,107.69000244140625,26.030569076538086,93.32869720458984,8.79367733001709,144.654296875,42.27965545654297
2016-01-28,106.54000091552734,25.80154037475586,94.6463394165039,9.037946701049805,145.4429473876953,42.423675537109375
2016-01-29,106.94999694824219,26.55971336364746,96.62275695800781,9.167265892028809,149.1259765625,43.399864196777344
2016-02-01,108.05000305175781,26.378067016601562,96.88259887695312,9.217556953430176,148.9917755126953,43.45586013793945
2016-02-02,108.08999633789062,25.746253967285156,94.78553771972656,9.03076171875,146.29029846191406,42.423675537109375
2016-02-03,109.25,25.510114669799805,94.33084869384766,9.23910903930664,147.14598083496094,42.8077507019043
2016-02-04,110.56999969482422,25.659381866455078,94.32157897949219,9.260662078857422,147.3306121826172,42.895774841308594
2016-02-05,112.31999969482422,24.774850845336914,91.04605865478516,9.174450874328613,144.56201171875,42.15962600708008
2016-02-08,113.83000183105469,24.000877380371094,89.65422058105469,8.815231323242188,142.5736846923828,41.4795036315918
2016-02-09,113.58000183105469,23.708667755126953,89.37582397460938,8.513486862182617,142.6156005859375,41.183467864990234
2016-02-10,114.45999908447266,23.898212432861328,89.71915435791016,8.520670890808105,142.52333068847656,41.20744323730469
2016-02-11,119.05999755859375,23.329586029052734,89.5892562866211,8.355433464050293,140.69436645507812,40.65535354614258
2016-02-12,118.36000061035156,23.898212432861328,90.95329284667969,8.642806053161621,143.58041381835938,41.37549591064453
2016-02-16,114.7699966430664,25.422452926635742,93.00395965576172,8.815231323242188,145.9882354736328,42.13562774658203
2016-02-17,115.4800033569336,25.93579864501953,95.11028289794922,9.088236808776855,148.37928771972656,42.95977020263672
2016-02-18,118.29000091552734,25.667278289794922,94.02465057373047,9.059497833251953,147.75006103515625,42.7757453918457
2016-02-19,117.58000183105469,26.038469314575195,94.3030014038086,9.052315711975098,147.71656799316406,42.71974182128906
2016-02-22,115.48999786376953,26.66238021850586,95.83406066894531,9.282217025756836,149.83071899414062,43.367855072021484
2016-02-23,117.22000122070312,26.101648330688477,94.25663757324219,9.052315711975098,147.95144653320312,42.75975036621094
2016-02-24,117.61000061035156,26.20431900024414,95.15668487548828,9.037946701049805,148.64776611328125,42.79176330566406
2016-02-25,117.91999816894531,25.540918350219727,96.09386444091797,8.930181503295898,150.43478393554688,43.25584411621094
2016-02-26,117.11000061035156,25.93579864501953,95.9732437133789,8.980472564697266,150.1578826904297,43.1998291015625
2016-02-29,118.63999938964844,25.848922729492188,95.11028289794922,9.045130729675293,148.81561279296875,42.91977310180664
2016-03-01,117.7699966430664,26.385961532592773,98.1631088256836,9.203186988830566,152.48187255859375,44.00796890258789
2016-03-02,118.68000030517578,26.496530532836914,98.20021057128906,9.267847061157227,153.1278533935547,44.296024322509766
2016-03-03,120.7300033569336,26.40965461730957,98.0146255493164,9.562406539916992,153.68991088867188,44.664093017578125
2016-03-04,120.54000091552734,26.970386505126953,98.0517807006836,9.598329544067383,154.18496704101562,44.96814727783203
2016-03-07,121.13999938964844,26.638687133789062,97.4486083984375,9.821043968200684,154.35269165039062,44.96814727783203
2016-03-08,120.58000183105469,26.425451278686523,96.64132690429688,9.634249687194824,152.6161651611328,44.38404083251953
2016-03-09,119.58000183105469,26.583404541015625,97.26304626464844,9.598329544067383,153.45506286621094,44.624080657958984
2016-03-10,121.5,26.401756286621094,97.11457061767578,9.526483535766602,153.53895568847656,44.576072692871094
2016-03-11,119.41000366210938,27.357370376586914,98.8126449584961,9.706094741821289,156.03065490722656,45.53623962402344
2016-03-14,117.87000274658203,27.43634796142578,98.97964477539062,9.569591522216797,155.79576110839844,45.43222427368164
2016-03-15,117.95999908447266,26.994081497192383,98.94254302978516,9.569591522216797,155.59437561035156,45.08841323852539
2016-03-16,120.58999633789062,27.594297409057617,99.82405853271484,9.856964111328125,156.525634765625,45.56235885620117
2016-03-17,120.12999725341797,27.736459732055664,99.76836395263672,10.302396774291992,157.51565551757812,45.98007583618164
2016-03-18,119.80000305175781,28.352476119995117,99.92472076416016,10.37424087524414,158.10293579101562,46.06039810180664
2016-03-21,118.95999908447266,28.463043212890625,100.31559753417969,10.359872817993164,158.3441619873047,46.06039810180664
2016-03-22,119.30999755859375,28.549911499023438,100.62271881103516,10.230554580688477,158.25978088378906,45.98007583618164
2016-03-23,116.61000061035156,27.894411087036133,99.79447937011719,9.993468284606934,157.2476043701172,45.522186279296875
2016-03-24,116.33000183105469,28.004974365234375,99.82237243652344,9.964733123779297,157.1379852294922,45.4257926940918
2016-03-28,116.5999984741211,27.791738510131836,99.68273162841797,10.05812931060791,157.2476043701172,45.58645248413086
2016-03-29,118.76000213623047,28.17082405090332,101.28348541259766,10.144340515136719,158.7574462890625,46.08449172973633
